(INR Crores/10 Millions),,,EICHER MOTORS LTD,,,,,,,,Mar-26,<< Latest available quarterly results,,,,,,,,,,,,,
Narration,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Last 4 Quarters,Total 10 Yrs,Growth Trends:,10Yr,7Yr,5Yr,3Yr,TTM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CROIC,,23.26%,8.63%,9.26%,10.14%,7.03%,13.51%,15.27%,12.66%,13.05%,,>13%,Higher the Better,,,,,,,,,,,,
FCF,," 1,671 ", 786 , 947 ," 1,182 ", 894 ," 2,063 "," 2,819 "," 2,755 "," 3,341 ",,,,,,,,,,,,,,,
Fcf % to sales,,18.63%,8.02%,10.35%,13.56%,8.68%,14.29%,17.05%,14.60%,14.27%,,,,,,,,,,,,,,,
Price to Fcf,,46.30,71.34,37.76,60.19,75.17,39.09,39.04,53.22,54.07,,,,,,,,,,,,,,,
FCF Conversion,,85%,36%,52%,88%,53%,71%,70%,58%,61%,,,,,,,,,,,,,,,
Divident Cover, -   , 6 , 2 , 3 , 3 , 2 , 2 , 2 , 1 , 1 ,,,,,,,,,,,,,,,
Depreciation % of NFA,18%,15%,16%,16%,19%,19%,20%,21%,21%,19%,,Slow Depriciation to Industry Could give boast to income,,,,,,,,,,,,,
Depreciation % of Sales,2.19%,2.49%,3.07%,4.17%,5.17%,4.39%,3.64%,3.61%,3.86%,3.59%,%,Capital Emloyed,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DU Point Analysis,,,,,,,,,,,,,,,,,,,,,,,,,
PAT / SALES,23.70%,21.86%,22.48%,19.96%,15.45%,16.28%,20.18%,24.20%,25.09%,23.56%,,Margin,,,,,,,,,,,,,
Sales / Total Assets,1.00,0.94,0.86,0.74,0.60,0.64,0.75,0.72,0.69,0.73,,Capital Turn,,,,,,,,,,,,,
Total Assets / Sharehodlers Equity,1.31,1.35,1.28,1.25,1.27,1.28,1.28,1.28,1.28,1.28,,Leverage,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Du Point ROE,31.19%,27.88%,24.70%,18.31%,11.78%,13.30%,19.44%,22.17%,22.23%,21.97%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Assets to Equity * ROA = ROE,40.90%,37.76%,31.53%,22.84%,14.99%,17.02%,24.89%,28.40%,28.37%,28.16%,,,,,,,,,,,,,,,
EBIT MARGIN,34.65,34.81,33.73,25.93,20.81,21.57,26.50,31.77,31.73,30.65,ebit * capital turn = roce,,,,,,,,,,,,,,
Capital Turn Ratio,15.81,23.10,8.05,5.98,4.53,4.53,6.59,3.45,2.82,2.98,Generation of every 1 rs Invesred,,,,,,,,,,,,,,
Networth / Shares Outstanding,196.44,257.89,326.93,365.47,418.52,461.16,548.09,659.08,776.68,915.06,915.06,,,,,,,,,,,,,,
,,,,,,,,,,,,,Through Retention Internal Compunding,,,,,,,,,,,,
Inventory / Assets,4.79%,4.14%,5.56%,4.60%,6.01%,7.02%,6.66%,6.10%,5.75%,6.12%,,,,,,,,,,,,,,,
Inventory Holding,,15,19,24,30,36,30,30,29,28,,,,,,,,,,,,,,,
Average Collection,, 2 , 3 , 3 , 5 , 8 , 8 , 8 , 9 , 7 ,,,,,,,,,,,,,,,
Average Payments,,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CCP,, 17 , 22 , 27 , 35 , 43 , 39 , 38 , 37 , 34 ,,,,,,,,,,,,,,,
WC % of Revenue,-16.58%,-20.96%,-15.96%,-17.05%,-21.43%,-19.32%,-15.73%,-17.34%,-17.52%,-18.06%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Gearing,,,,,,,,,,,,,,,,,,,,,,,,,
Assets to Equity,1.31,1.35,1.28,1.25,1.27,1.28,1.28,1.28,1.28,1.28,,< 3 looks ok,,,,,,,,,,,,,
Gross Gearing (% Debt to equity),2.09%,2.15%,2.09%,2.49%,1.92%,0.85%,1.92%,2.32%,2.15%,2.05%,,Total Borrowing to Equity,,,,,,,,,,,,,
Net Gearing,1.62%,-15.09%,-31.15%,-27.07%,-49.06%,-20.74%,-3.18%,1.51%,0.92%,1.03%,,Gross debt - Cash / Equity,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Cost,58.52%,57.85%,58.86%,62.54%,68.73%,66.87%,63.28%,59.70%,58.99%,57.80%,,,,,,,,,,,,,,,
Fixed Cost,6.84%,7.13%,7.54%,9.08%,7.36%,8.88%,8.66%,8.53%,9.33%,11.54%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BEP Sales,30.03%,30.48%,33.02%,41.33%,44.27%,44.46%,38.72%,35.46%,36.36%,36.81%,,,,,,,,,,,,,,,
Contribution,3697.67,4803.01,5371.28,4664.47,4035.76,4779.01,7059.56,8985.98,10468.41,12568.77,,,Sales - VC,,,,,,,,,,,,
Operating Leverage,1.70,1.71,1.85,2.14,2.26,2.19,2.05,2.08,2.22,2.17,,,Contribution / Operating Profit,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
% Change in OPM,,29.17%,3.40%,-24.84%,-18.31%,22.11%,58.24%,25.64%,9.08%,22.50%,,,,,,,,,,,,,,,
